,Bearing 1,Bearing 2,Bearing 3,Bearing 4
2/15/2004 10:32,0.060959129,0.074498462,0.076289321,0.04322921
2/15/2004 10:42,0.060307388,0.073226671,0.075188583,0.043280336
2/15/2004 10:52,0.061288637,0.074106499,0.076945847,0.043786122
2/15/2004 11:02,0.061655647,0.074759998,0.076069583,0.043547683
2/15/2004 11:12,0.0605741,0.073733923,0.078334977,0.044990283
2/15/2004 11:22,0.060179843,0.072930417,0.076648762,0.043536647
2/15/2004 11:32,0.061555203,0.074988232,0.074932907,0.044546902
2/15/2004 11:42,0.061789052,0.073754871,0.07619205,0.044051565
2/15/2004 11:52,0.060817472,0.074145075,0.078237267,0.043640217
2/15/2004 12:02,0.061251184,0.073961277,0.075843449,0.043485961
2/15/2004 12:12,0.060541677,0.073487084,0.076082377,0.043939938
2/15/2004 12:22,0.060525319,0.074382831,0.078142341,0.044174423
2/15/2004 12:32,0.060920113,0.073339323,0.077637433,0.042914791
2/15/2004 12:42,0.061788808,0.074204649,0.07959539,0.044317935
2/15/2004 12:52,0.061652473,0.07433151,0.075826261,0.04374281
